2025-03-04 17:37:07,185 INFO    StreamThr :974389 [internal.py:wandb_internal():86] W&B internal server running at pid: 974389, started at: 2025-03-04 17:37:07.184395
2025-03-04 17:37:07,186 DEBUG   HandlerThread:974389 [handler.py:handle_request():146] handle_request: status
2025-03-04 17:37:07,187 INFO    WriterThread:974389 [datastore.py:open_for_write():85] open: /shared/nas2/jk100/partonomy_private/src/models/PLUM/wandb/run-20250304_173707-kcap767x/run-kcap767x.wandb
2025-03-04 17:37:07,188 DEBUG   SenderThread:974389 [sender.py:send():380] send: header
2025-03-04 17:37:07,195 DEBUG   SenderThread:974389 [sender.py:send():380] send: run
2025-03-04 17:37:07,455 INFO    SenderThread:974389 [dir_watcher.py:__init__():211] watching files in: /shared/nas2/jk100/partonomy_private/src/models/PLUM/wandb/run-20250304_173707-kcap767x/files
2025-03-04 17:37:07,455 INFO    SenderThread:974389 [sender.py:_start_run_threads():1124] run started: kcap767x with start time 1741131427.184921
2025-03-04 17:37:07,460 DEBUG   HandlerThread:974389 [handler.py:handle_request():146] handle_request: check_version
2025-03-04 17:37:07,460 DEBUG   SenderThread:974389 [sender.py:send_request():407] send_request: check_version
2025-03-04 17:37:07,520 DEBUG   HandlerThread:974389 [handler.py:handle_request():146] handle_request: run_start
2025-03-04 17:37:07,589 DEBUG   HandlerThread:974389 [system_info.py:__init__():32] System info init
2025-03-04 17:37:07,589 DEBUG   HandlerThread:974389 [system_info.py:__init__():47] System info init done
2025-03-04 17:37:07,589 INFO    HandlerThread:974389 [system_monitor.py:start():194] Starting system monitor
2025-03-04 17:37:07,589 INFO    SystemMonitor:974389 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-03-04 17:37:07,590 INFO    HandlerThread:974389 [system_monitor.py:probe():214] Collecting system info
2025-03-04 17:37:07,590 INFO    SystemMonitor:974389 [interfaces.py:start():190] Started cpu monitoring
2025-03-04 17:37:07,590 INFO    SystemMonitor:974389 [interfaces.py:start():190] Started disk monitoring
2025-03-04 17:37:07,591 INFO    SystemMonitor:974389 [interfaces.py:start():190] Started gpu monitoring
2025-03-04 17:37:07,591 INFO    SystemMonitor:974389 [interfaces.py:start():190] Started memory monitoring
2025-03-04 17:37:07,592 INFO    SystemMonitor:974389 [interfaces.py:start():190] Started network monitoring
2025-03-04 17:37:07,674 DEBUG   HandlerThread:974389 [system_info.py:probe():196] Probing system
2025-03-04 17:37:07,676 DEBUG   HandlerThread:974389 [system_info.py:_probe_git():181] Probing git
2025-03-04 17:37:07,684 DEBUG   HandlerThread:974389 [system_info.py:_probe_git():189] Probing git done
2025-03-04 17:37:07,684 DEBUG   HandlerThread:974389 [system_info.py:probe():244] Probing system done
