2025-03-02 01:59:29,745 INFO    StreamThr :3988112 [internal.py:wandb_internal():86] W&B internal server running at pid: 3988112, started at: 2025-03-02 01:59:29.745023
2025-03-02 01:59:29,747 DEBUG   HandlerThread:3988112 [handler.py:handle_request():146] handle_request: status
2025-03-02 01:59:29,747 INFO    WriterThread:3988112 [datastore.py:open_for_write():85] open: /shared/nas2/jk100/partonomy_private/src/models/PLUM/wandb/run-20250302_015929-ym6yr28f/run-ym6yr28f.wandb
2025-03-02 01:59:29,749 DEBUG   SenderThread:3988112 [sender.py:send():380] send: header
2025-03-02 01:59:29,757 DEBUG   SenderThread:3988112 [sender.py:send():380] send: run
2025-03-02 01:59:29,968 INFO    SenderThread:3988112 [dir_watcher.py:__init__():211] watching files in: /shared/nas2/jk100/partonomy_private/src/models/PLUM/wandb/run-20250302_015929-ym6yr28f/files
2025-03-02 01:59:29,969 INFO    SenderThread:3988112 [sender.py:_start_run_threads():1124] run started: ym6yr28f with start time 1740902369.745367
2025-03-02 01:59:29,975 DEBUG   HandlerThread:3988112 [handler.py:handle_request():146] handle_request: check_version
2025-03-02 01:59:29,975 DEBUG   SenderThread:3988112 [sender.py:send_request():407] send_request: check_version
2025-03-02 01:59:30,058 DEBUG   HandlerThread:3988112 [handler.py:handle_request():146] handle_request: run_start
2025-03-02 01:59:30,133 DEBUG   HandlerThread:3988112 [system_info.py:__init__():32] System info init
2025-03-02 01:59:30,133 DEBUG   HandlerThread:3988112 [system_info.py:__init__():47] System info init done
2025-03-02 01:59:30,133 INFO    HandlerThread:3988112 [system_monitor.py:start():194] Starting system monitor
2025-03-02 01:59:30,133 INFO    SystemMonitor:3988112 [system_monitor.py:_start():158] Starting system asset monitoring threads
2025-03-02 01:59:30,133 INFO    HandlerThread:3988112 [system_monitor.py:probe():214] Collecting system info
2025-03-02 01:59:30,134 INFO    SystemMonitor:3988112 [interfaces.py:start():190] Started cpu monitoring
2025-03-02 01:59:30,134 INFO    SystemMonitor:3988112 [interfaces.py:start():190] Started disk monitoring
2025-03-02 01:59:30,135 INFO    SystemMonitor:3988112 [interfaces.py:start():190] Started gpu monitoring
2025-03-02 01:59:30,135 INFO    SystemMonitor:3988112 [interfaces.py:start():190] Started memory monitoring
2025-03-02 01:59:30,136 INFO    SystemMonitor:3988112 [interfaces.py:start():190] Started network monitoring
2025-03-02 01:59:30,313 DEBUG   HandlerThread:3988112 [system_info.py:probe():196] Probing system
2025-03-02 01:59:30,315 DEBUG   HandlerThread:3988112 [system_info.py:_probe_git():181] Probing git
2025-03-02 01:59:30,324 DEBUG   HandlerThread:3988112 [system_info.py:_probe_git():189] Probing git done
2025-03-02 01:59:30,324 DEBUG   HandlerThread:3988112 [system_info.py:probe():244] Probing system done
